"X_id","OBJECTID","STRUCTID","ADDRESS","STREETNAME","CROSSSTREET1","CROSSSTREET2","DBH_TRUNK","WARD","BOTANICAL_NAME","COMMON_NAME","geometry"
160,8983,84095,3605,"TEZJvDyT St","mTaxSptd St","PSRtPyrQ St",38.5,24,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3119220918277 43.6072125926148)"
161,37769,74516,559,"YKgwvdWy St","fkLKFTgR St","oRkUniBA St",17.9,6,"Picea pungens","Colorado Blue Spruce","POINT (-79.5983982727863 43.7721809619106)"
162,29479,4399,2677,"HSroDXUP St","LqyKkGAO St","ZJOfLGKr St",41.9,1,"Betula papyrifera","Silver Maple","POINT (-79.5662577411625 43.7954441920156)"
163,70943,43202,2399,"RwPvAPOE St","HbFYIOCP St","SsKdHZDV St",21.4,24,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.3848862893181 43.702215787163)"
164,98170,32485,2047,"udQxNsNA St","kLhoiYto St","yDjucPvP St",56.1,19,"Acer saccharinum","Silver Maple","POINT (-79.581358294189 43.7501688743941)"
165,78121,54516,609,"JAddlswW St","ZKwuGTMd St","HyaxrURv St",29.4,4,"Picea pungens","Colorado Blue Spruce","POINT (-79.459927369724 43.7509248900693)"
166,86621,2959,3419,"DOhxWyfc St","LcSdJFmL St","FIOGLrjj St",28.7,4,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4191570396535 43.7454084999627)"
167,1835,67672,2929,"HVafGTmJ St","XVtGDnDI St","qAaMSQAU St",79.4,18,"Picea pungens","Colorado Blue Spruce","POINT (-79.4674301897874 43.6063530809712)"
168,42221,93354,2083,"ICbRAmgy St","MQJqDghV St","VnnYInfN St",61.6,11,"Acer saccharinum","Silver Maple","POINT (-79.4370041316142 43.8355142614339)"
169,21099,9940,2076,"tYonsnEj St","mqviklip St","enFPwskD St",65.2,10,"Acer saccharinum","White Birch","POINT (-79.4205739276716 43.843598637078)"
170,41043,21650,4434,"WaYaniWV St","vOSKcyfy St","pOQZwAOp St",41.2,20,"Acer saccharinum","White Birch","POINT (-79.3273991066497 43.731666876399)"
171,90978,55081,608,"VHxMssCQ St","zIigLtjb St","ePFULVXM St",96.2,12,"Picea pungens","White Birch","POINT (-79.4247241341276 43.6682968100766)"
172,56529,62459,4723,"SVIxzkQN St","GpGBuOGh St","nFQCNZZq St",23.5,14,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.553409239836 43.8733433230082)"
173,36940,62301,1974,"tvbfcgjp St","DZQKNegF St","BXHlDWtZ St",98.3,8,"Acer saccharinum","White Birch","POINT (-79.3230634454172 43.8980685880873)"
174,97455,27655,2948,"XZpZlgCT St","VqzKvkBS St","XhbiXgEU St",62.5,22,"Picea pungens","White Birch","POINT (-79.4375327741262 43.6781698015053)"
175,76099,79336,16,"PRPrPnsb St","gqRXoxIv St","Lynpdepv St",17.5,7,"Picea pungens","Colorado Blue Spruce","POINT (-79.4405302571831 43.7920677657006)"
176,38265,29169,1054,"wrJCkDGX St","PsbkigCD St","goXLQEyi St",16.6,19,"Acer saccharinum","White Birch","POINT (-79.392456906545 43.7542903673835)"
177,76384,5456,1924,"PVgrWRMD St","STBNkhNm St","TlVZgpex St",42.4,10,"Betula papyrifera","White Birch","POINT (-79.4774174650432 43.8873248157557)"
178,46438,2021,2954,"FeTJbqlD St","vYtmLthW St","DBVLluFZ St",66.1,20,"Acer saccharinum","Silver Maple","POINT (-79.5000640962971 43.7361646462232)"
179,75176,7432,1261,"JBlWGMPy St","tOjwGqBE St","tvHTBjEG St",68,8,"Picea pungens","Colorado Blue Spruce","POINT (-79.3848964687204 43.7821455015335)"
180,88461,47155,2329,"jJMWLgZo St","faMwvKKJ St","uirkzcXc St",84.4,18,"Picea pungens","Silver Maple","POINT (-79.5834571895888 43.6200350647792)"
181,69350,52920,4627,"aQqwVICp St","mSqxoNCW St","QqrrrDCF St",97.6,11,"Acer saccharinum","Silver Maple","POINT (-79.3594895268558 43.6194684328977)"
182,8176,11274,3509,"NiNHJYgw St","DPQMsjuX St","WyXSCWUS St",30.7,16,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5162819991354 43.8710930457571)"
183,94119,3527,3431,"zNoNWskR St","yvJDNvZJ St","JDeupzMh St",8.5,13,"Acer saccharinum","White Birch","POINT (-79.5577491233824 43.8468235026579)"
184,76369,55153,3033,"wWTpmdlQ St","uPBPFoxy St","eVUjUzxj St",84.5,10,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3999462088337 43.613733271556)"
185,17746,64715,2840,"XwbRmpZm St","oJAmsmhU St","QLeQRbhR St",89.4,21,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5919372678269 43.6936640347121)"
186,53873,74829,230,"TROzfUYC St","MDZKmlha St","znKSHoSU St",57.8,15,"Picea pungens","White Birch","POINT (-79.3466694924282 43.8946880857926)"
187,29133,2173,2617,"SWdgLrKn St","otwKhaDu St","KxVtDnbT St",50.9,23,"Picea pungens","White Birch","POINT (-79.429570451146 43.8647710322402)"
188,31,51863,4579,"vOJzgxIP St","bBAJVVLg St","BbKHVSGX St",81,13,"Betula papyrifera","Silver Maple","POINT (-79.5484427337302 43.6964511394734)"
189,7588,28362,1408,"VChLIllN St","JTNszjIx St","fyHHYRfq St",41.9,18,"Picea pungens","White Birch","POINT (-79.5826033311896 43.6075543108629)"
190,4620,87123,2062,"eoTIfFbm St","JESlSQze St","KDKzrQPb St",8.5,11,"Picea pungens","Colorado Blue Spruce","POINT (-79.3790589994751 43.7420679544797)"
191,45980,56442,938,"KcETcXIS St","ZDWHQutw St","seIvEPmy St",78.5,19,"Acer saccharinum","White Birch","POINT (-79.3599272731459 43.6549438666087)"
192,68783,6207,1775,"ZBCEJnfm St","VQjZcBDb St","bAbwEavq St",8.4,6,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4163724603597 43.7766854259418)"
193,51573,15786,652,"szdDISRZ St","KSaxukgx St","acaZKSAk St",98.1,24,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3022606379818 43.8260128426366)"
194,89552,18608,2003,"slkHoerL St","cfKnqorA St","LuPehIPj St",23.3,25,"Picea pungens","Silver Maple","POINT (-79.3583630959503 43.6822422898374)"
195,70778,26198,4729,"hatCIJgL St","TpokVoeb St","trYvhikO St",51.7,23,"Acer saccharinum","Silver Maple","POINT (-79.4308739767876 43.6061177871889)"
196,11667,5301,2860,"TietvJkJ St","pblOLAhG St","fleTsWgE St",98.1,19,"Acer saccharinum","Silver Maple","POINT (-79.4595379883423 43.8819348664489)"
197,33027,48220,4738,"NYSSIaYO St","PYWGJMZn St","QCzSswVb St",19.4,19,"Picea pungens","White Birch","POINT (-79.4434591524536 43.684178812406)"
198,87905,11918,4459,"QQoPQWna St","qmTZntXg St","iNuvUQtZ St",90.3,16,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.3011211239034 43.7128158477833)"
199,70945,3493,2131,"nmRewiaI St","lWDenJNU St","nPLYCKsj St",33.7,3,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.391012427886 43.8990943052573)"
200,91467,77396,460,"NYbdIFmL St","RDfRjxQW St","zqwndtiV St",44.4,17,"Betula papyrifera","Silver Maple","POINT (-79.4367534978315 43.8164534235839)"
201,76792,64348,4018,"JQuaAAGv St","HSMxFNtF St","zmyHjsds St",84.3,11,"Picea pungens","Colorado Blue Spruce","POINT (-79.362106952141 43.6302686558804)"
202,89436,46697,3835,"TgMlvjYe St","hiZgHJpK St","sFuacQFY St",99.2,25,"Picea pungens","White Birch","POINT (-79.3349489439512 43.7042386211921)"
203,2450,34454,3510,"hAnadYrB St","dWCMSsTn St","UGArRVNV St",69.3,25,"Betula papyrifera","White Birch","POINT (-79.5240909416694 43.7606700015254)"
204,44500,8314,881,"ionDDSGC St","TAaUhVtY St","aCBmCLrV St",36.1,9,"Picea pungens","Colorado Blue Spruce","POINT (-79.5532942042919 43.6220641837688)"
205,1673,16123,4952,"APUswZIT St","XwNqGugY St","SxlFpSyL St",45.3,23,"Picea pungens","Silver Maple","POINT (-79.379956524726 43.6751533610979)"
206,19851,10729,2793,"gviveTUL St","RPlnJjTg St","NMcTzyjE St",83.1,17,"Picea pungens","Colorado Blue Spruce","POINT (-79.3744881379185 43.6152749282541)"
207,48434,61723,3043,"NjNjatuH St","FbkBVNzA St","xMsnKekg St",48.8,25,"Betula papyrifera","White Birch","POINT (-79.3492452046135 43.7681524285581)"
208,83529,37223,2034,"LZXjcKoF St","RxKSyqye St","DIxgecNR St",60.1,5,"Acer saccharinum","White Birch","POINT (-79.4786902550841 43.6091980349738)"
209,6007,22340,2641,"VBmZDZnQ St","wLgLnXqg St","QWyCgSzy St",40,3,"Betula papyrifera","Silver Maple","POINT (-79.3015467440244 43.6864827160258)"
210,83680,60393,987,"bYHDAoSd St","tnNOLcsB St","LOsTHuTN St",94.3,3,"Picea pungens","White Birch","POINT (-79.428404257819 43.8549995545298)"
211,55992,58204,3576,"mOgRSobS St","GFhMMmyx St","vfnDihvO St",87.1,20,"Picea pungens","Silver Maple","POINT (-79.3360457274364 43.797833382478)"
212,90779,27772,651,"dzLrbLcH St","rwkzerKz St","xNgmbAUp St",57.5,16,"Picea pungens","Colorado Blue Spruce","POINT (-79.4892553377431 43.7034194543725)"
213,78967,63137,32,"MmeZgmkI St","QYcmehgk St","caSCEATT St",78.3,20,"Betula papyrifera","White Birch","POINT (-79.3856836709427 43.82058715038)"
214,66596,44587,616,"nbiYgrYf St","ADhFlhsJ St","MSZiMUHn St",86.3,17,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5303471490741 43.7757970827166)"
215,60906,14174,2127,"jSFTmdPN St","wCqYrSRK St","RKhhRpEF St",48.8,3,"Betula papyrifera","White Birch","POINT (-79.3732180724153 43.6179469062481)"
216,78715,10597,584,"zeOEARvq St","PLKSxjBF St","ocIYARXN St",11.7,1,"Picea pungens","White Birch","POINT (-79.4313557904446 43.7110330644762)"
217,93289,15656,1137,"OYlueasr St","fpaziHpZ St","VoZgAlLq St",22.2,12,"Betula papyrifera","Silver Maple","POINT (-79.3574973524315 43.8170852210606)"
218,46468,43972,231,"JgGOspIq St","EDozimYk St","AXIwjttW St",40.1,8,"Acer saccharinum","Silver Maple","POINT (-79.549909304711 43.7535803847015)"
219,1204,21811,438,"DIofYwzd St","QShsLsiH St","fCLchIeK St",90,19,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.574786045379 43.6159931854811)"
220,97653,20316,1004,"gnSvNexC St","aeCOxmzk St","gpEdKHVP St",49.6,22,"Picea pungens","White Birch","POINT (-79.5280808480689 43.8693037342746)"
221,53272,73598,786,"FWmplIOT St","sHRZOjsU St","iyqKAdhr St",57.1,12,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.3361483196961 43.667437417456)"
222,24111,98400,422,"wRLAZphI St","qCsZUatr St","RxOUQzYx St",23.7,7,"Betula papyrifera","Silver Maple","POINT (-79.4321316484595 43.8385920910398)"
223,75455,15850,2708,"zEmMxPMf St","yHdsdeav St","WOaWwDXr St",48.3,5,"Betula papyrifera","White Birch","POINT (-79.5310689385049 43.8698062678566)"
224,43694,9013,4850,"CDqGCPEa St","GmGZOBjC St","dcMnsVLt St",12.6,18,"Acer saccharinum","White Birch","POINT (-79.4299237984465 43.8730606876081)"
225,3984,71676,2390,"lsYPpgwt St","fjukJhXg St","ZEMwqVfg St",60.9,12,"Picea pungens","Silver Maple","POINT (-79.4056617025286 43.7572142156307)"
226,7880,44349,4558,"qAhVkpcW St","QZeFmQxV St","zANDtNNK St",32.6,6,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5783048460726 43.8216787544079)"
227,57722,91418,2912,"xobWppJd St","xjyrmRyO St","KlMiJHPZ St",62.1,1,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5499218010111 43.8946131554199)"
228,22119,80500,1026,"aSBbcRDv St","GBdlwITL St","iaHWkRKw St",84.5,2,"Acer saccharinum","Silver Maple","POINT (-79.5719193146331 43.845275653759)"
229,67632,51002,5000,"XuVjrSNO St","jDokVCuA St","tETQVCxu St",78.8,6,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3131797632202 43.8299205943011)"
230,86409,33497,671,"NJBNmUsh St","kSLBtrFz St","tJpOFcvD St",51.2,8,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5785324408673 43.6343113546493)"
231,52523,12301,3948,"VzwoRNIt St","rPKylAiU St","otFrFFwG St",94.9,8,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5168711395701 43.8868383513298)"
232,53918,2539,1844,"eEnIDGCZ St","tDiopJMq St","vjhxhixq St",82.4,10,"Picea pungens","Colorado Blue Spruce","POINT (-79.3356648248387 43.6544690556824)"
233,24522,53998,374,"aBjvAnCs St","YTsxKtHt St","DwaCWiis St",5.8,6,"Picea pungens","White Birch","POINT (-79.5552191380411 43.6118597787339)"
234,6333,1055,2909,"gZqsSgur St","WqXpahzc St","QAkgZlRa St",67.2,8,"Picea pungens","Colorado Blue Spruce","POINT (-79.578237777017 43.654940051795)"
235,68430,5751,796,"OMWNvjYH St","DtJtKowr St","xdCfZzIU St",58.5,16,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5411070740316 43.6937758593587)"
236,90232,54789,2482,"ayJebnNg St","uiJDHQTM St","PAtBwEFk St",68,4,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3742564602289 43.6304890167434)"
237,89419,22262,4737,"BxIQVXdc St","BnjBYkCl St","lFAmAiIp St",42.1,16,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4901305045467 43.6606292576063)"
238,55737,20390,1823,"sWabXQtq St","VnZCpsYB St","dsGbVPBJ St",88.3,4,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4239166638348 43.6817379581975)"
239,19955,49755,1625,"zWYYtajJ St","MGNNvHTN St","wLBRMJRe St",86.1,24,"Picea pungens","Silver Maple","POINT (-79.5211856333539 43.8762378133601)"
240,55368,45075,2664,"YjBSIePb St","gjiDiWDT St","IYRONzTo St",54.5,8,"Picea pungens","Colorado Blue Spruce","POINT (-79.317029953422 43.7447540718364)"
241,47818,99786,3646,"GhGiRgrp St","njtGyrEn St","CjkGEMOI St",55.7,16,"Acer saccharinum","Silver Maple","POINT (-79.5874376392458 43.687858725572)"
242,14417,13596,3590,"JNcRVioJ St","GJiBPIuT St","sxSOYgVu St",44.1,17,"Acer saccharinum","Silver Maple","POINT (-79.4655171904713 43.7158080897061)"
243,49286,87382,767,"atWVOYqJ St","DWhvhLqm St","WwwFymHl St",65.5,2,"Picea pungens","Silver Maple","POINT (-79.5416611771332 43.7210221228423)"
244,92916,93307,3640,"tsahzhZQ St","qecSCMgB St","hrOjQARO St",91.9,2,"Betula papyrifera","White Birch","POINT (-79.5793394575594 43.8586315381573)"
245,25244,68395,4116,"zMXNDxEY St","hDBhtycl St","FzZUjokI St",53.6,11,"Picea pungens","White Birch","POINT (-79.5884564417647 43.7036139381351)"
246,5596,26024,562,"JzwbxkiL St","GcfArsld St","JooHCqDk St",78.3,11,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.3935271819821 43.8051658649463)"
247,40276,90335,4101,"gtPSMkMF St","RQzpWtgW St","rJnlLSQv St",41.5,25,"Picea pungens","Colorado Blue Spruce","POINT (-79.3922199107474 43.6398980267346)"
248,60101,474,4782,"JmPiNAkK St","jgrkpnZp St","WFGgOKQL St",72.3,6,"Picea pungens","Colorado Blue Spruce","POINT (-79.3118274570676 43.6656277069356)"
249,37167,70382,1629,"oHxqAljK St","XqHVipnQ St","JsPcIHRB St",99.9,22,"Picea pungens","Silver Maple","POINT (-79.4557271963684 43.86370432931)"
250,69232,46804,3808,"TVUoCCZa St","RqpqbAkG St","MgrmxjMY St",17.9,18,"Acer saccharinum","Silver Maple","POINT (-79.4549876320641 43.6928008081391)"
251,22974,44140,4855,"LfhiGHzN St","LTsbFlzH St","xcWDCrNW St",12.6,4,"Acer saccharinum","White Birch","POINT (-79.4922238341533 43.7012062047375)"
252,52851,37425,1612,"LiUdFpTr St","WpEYHGBb St","lcSxqNWS St",10.5,22,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3989108283073 43.8610302462708)"
253,4913,88317,3003,"zcSyldJh St","VDdBNVWs St","BkCxyusQ St",18.5,5,"Picea pungens","Silver Maple","POINT (-79.4882197188213 43.8577880633296)"
254,10301,33445,94,"wijGMceT St","FdrpWyfk St","fVKNlbCO St",6.2,23,"Picea pungens","Colorado Blue Spruce","POINT (-79.525047193747 43.6144557768712)"
255,76908,38942,1354,"SekZKRjG St","zQrkGety St","sQhwOuRg St",66.2,10,"Betula papyrifera","White Birch","POINT (-79.5545201661065 43.6939665695187)"
256,99701,37175,2890,"xIuAgfgW St","CKzhwTDD St","JyiVJOEq St",60.8,5,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5887426716741 43.7078922132263)"
257,18547,39374,2366,"imqfhNlO St","KgwYGJzl St","mHYqgSEI St",37.8,2,"Picea pungens","Colorado Blue Spruce","POINT (-79.5993829525774 43.7947473304346)"
258,78774,48956,2302,"mFeLnzbm St","vYpDQPxr St","iFnaegFV St",71.9,1,"Acer saccharinum","Silver Maple","POINT (-79.5959642992122 43.7039696110645)"
259,29370,65852,1370,"rFRAdOaj St","dbsJONpn St","tTSUtMxs St",59.1,6,"Betula papyrifera","White Birch","POINT (-79.4634364269441 43.6731981586199)"
260,46843,91990,967,"HfuNGMvf St","ILPfWNuy St","eAccwMKV St",54.5,1,"Picea pungens","White Birch","POINT (-79.3558456466533 43.680362563394)"
261,58102,74343,401,"HkIzpVYU St","dkQgHlLO St","ochaTJCm St",15.2,19,"Picea pungens","Colorado Blue Spruce","POINT (-79.5080414890312 43.6178372481139)"
262,36086,58974,3935,"BiwNAqMF St","gohWUXNi St","spoMWciU St",18.1,1,"Betula papyrifera","Silver Maple","POINT (-79.3255391820334 43.7512347454904)"
263,76723,98726,3389,"DcOBblTV St","AthdSyZS St","ImgmSear St",68.2,12,"Picea pungens","White Birch","POINT (-79.3893720543012 43.7416838337202)"
264,82171,81938,1073,"OwWHfFKv St","XMBPYcyw St","ZXKmhEQI St",39.9,9,"Picea pungens","White Birch","POINT (-79.5096686264034 43.6157019310398)"
265,9182,63262,4457,"AcJCBnmK St","ylDAahAx St","pmyLVsTS St",49.2,5,"Betula papyrifera","Silver Maple","POINT (-79.442755299178 43.7163749916945)"
266,71848,18669,32,"yiGsJZJl St","OkxkpYTD St","TRnDUGgB St",7.6,19,"Picea pungens","White Birch","POINT (-79.4798334817868 43.6341931788949)"
267,88852,87881,3709,"oxaOjJom St","SWYfGtcl St","IPknXiIM St",7.6,13,"Picea pungens","Colorado Blue Spruce","POINT (-79.5991776257055 43.6700230262242)"
268,82585,85471,2598,"fdieGiYe St","KuEDKjsX St","NjkwGaHk St",36.1,4,"Acer saccharinum","White Birch","POINT (-79.4952453943668 43.8550857055467)"
269,56519,84121,675,"NkEFGiqy St","HiIVAekk St","kKRHBtqM St",43.4,5,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3950710589765 43.6494552033488)"
270,24671,80428,4996,"FZRRrkgu St","bDSuqqas St","RgIEwLBb St",46.6,13,"Acer saccharinum","White Birch","POINT (-79.3937046409817 43.8713452079799)"
271,93648,30677,4263,"mZgkWQAN St","ltRLNnsU St","IVmvAPri St",8.4,8,"Picea pungens","Colorado Blue Spruce","POINT (-79.5158771865303 43.613798924908)"
272,34134,75082,2788,"OQEvSwyG St","pzqrifXE St","XzTnYZEs St",23.3,7,"Betula papyrifera","Silver Maple","POINT (-79.3056940820534 43.6278738786001)"
273,47800,39794,1943,"cdMiqEjf St","KIyNdyTb St","NZGiXePz St",46.6,7,"Picea pungens","Silver Maple","POINT (-79.4689812343568 43.754297191021)"
274,25196,93231,4269,"YRVBWnYP St","yzxkNsZY St","XvYfJiAy St",53,15,"Picea pungens","White Birch","POINT (-79.314001469058 43.6721378084039)"
275,65778,6531,1249,"mDczNppt St","UHrATzfF St","oZzzjIau St",49.7,19,"Betula papyrifera","Silver Maple","POINT (-79.5437308731954 43.6863546918146)"
276,7071,82608,967,"MdvAINoD St","ajZgIZca St","wpiRGMnB St",32.1,13,"Betula papyrifera","White Birch","POINT (-79.3137329355115 43.8083169408608)"
277,40160,10870,2216,"uQufXknb St","jBaBSolD St","lWFwBqag St",9.9,12,"Betula papyrifera","White Birch","POINT (-79.5572240954963 43.8457295150263)"
278,1498,71967,2734,"ADilXLlA St","cPpGHvys St","MKhBbxxS St",22.6,18,"Betula papyrifera","White Birch","POINT (-79.4651908455417 43.8187578171259)"
279,57337,12724,1573,"cEuoWfnL St","HBQkoPhF St","xAkVNeDL St",86.1,8,"Picea pungens","White Birch","POINT (-79.4850187106524 43.8103366858093)"
280,60587,1004,4993,"XAmlFllW St","DGNbnZzD St","PBFfppNn St",97.9,8,"Picea pungens","Colorado Blue Spruce","POINT (-79.3178873061668 43.621009065886)"
281,20698,59924,1251,"SLhEJOkS St","xryhtXjg St","fUlysJrZ St",58.5,23,"Acer saccharinum","Silver Maple","POINT (-79.4378136401065 43.8747269139858)"
282,65615,85830,1351,"zJwHrsNP St","UOmPOEBy St","XrdSQecw St",39.7,4,"Betula papyrifera","White Birch","POINT (-79.5476705307141 43.8327892852947)"
283,9723,36840,1409,"ghWfBiVQ St","uyPLnVCo St","CZDQjObV St",45.4,21,"Picea pungens","Colorado Blue Spruce","POINT (-79.416389864753 43.8739415346179)"
284,34599,99414,3805,"TlYcPumc St","AIXbDGSL St","dRGjfNzK St",85,22,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5124023952987 43.8864039073)"
285,4518,98874,967,"yMtxmUbd St","gUPDalMM St","vYPmJbwX St",83.6,10,"Acer saccharinum","White Birch","POINT (-79.4529991539894 43.6606640260899)"
286,62170,16491,3688,"bxtgunOA St","HYVArZHx St","eZPhCFQR St",6.6,24,"Picea pungens","Silver Maple","POINT (-79.5207203128375 43.7150875475025)"
287,81882,4392,432,"rFGIGfxm St","qLPOEnmh St","HcCmmIoJ St",50.5,2,"Betula papyrifera","White Birch","POINT (-79.5588940126356 43.7957776841242)"
288,4695,39077,1869,"aEaprzVs St","nbtyllZG St","kMeGJPis St",46.3,9,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4431497201091 43.66086689441)"
289,32102,29649,1410,"KJcGCNQx St","wXRgYATD St","oGepzpMo St",19.4,19,"Picea pungens","Colorado Blue Spruce","POINT (-79.5087085989071 43.8732953867642)"
290,78889,13741,342,"WXDTdsMx St","oiSymKDi St","mbCFzeKe St",20.2,18,"Betula papyrifera","Silver Maple","POINT (-79.3225618927274 43.789676645305)"
291,81025,35153,1613,"tLUgHOeI St","LLgvdHMH St","FdJyfRHe St",86.5,1,"Betula papyrifera","White Birch","POINT (-79.5403285685228 43.7506326413946)"
292,97142,53918,4666,"YsaTelSI St","vSpibegw St","PaevUBbP St",81.6,8,"Acer saccharinum","Silver Maple","POINT (-79.5093641348416 43.8786976620089)"
293,74984,99710,3833,"TfmAxGBr St","UjudhkBX St","JRPtQaxF St",71.8,11,"Betula papyrifera","Silver Maple","POINT (-79.3954371842788 43.6703839617316)"
294,92556,72770,2768,"XNrYGGtC St","aJYlIbSs St","SfNgnYpR St",37.2,4,"Picea pungens","Silver Maple","POINT (-79.3512352665188 43.8282473959262)"
295,53289,8259,4205,"SVnkwIqc St","xVzFsWRS St","aDreMFvo St",19.5,25,"Picea pungens","Colorado Blue Spruce","POINT (-79.3431928393664 43.8510166494641)"
296,16436,39842,1063,"uwAVFYlY St","rxnKxGNw St","KloSMwvt St",97.6,8,"Acer saccharinum","Silver Maple","POINT (-79.3560072528897 43.66214931875)"
297,26691,61262,2653,"JePmvNcn St","qnzoAsqR St","ZDHMRlfB St",72.8,3,"Picea pungens","Silver Maple","POINT (-79.4469952911837 43.6514780797763)"
298,53705,93361,4455,"aLUdCnBG St","vHjalFLL St","amCyudXr St",65.1,4,"Picea pungens","White Birch","POINT (-79.5379914169665 43.6954607266001)"
299,42887,50366,183,"VfhhEVBQ St","MHHtCyip St","CvmLQKml St",71.9,10,"Betula papyrifera","White Birch","POINT (-79.3671748897526 43.7459435820114)"
300,30237,27351,1249,"uMkujFqk St","cBZKdtRG St","mGCElDPh St",94.2,25,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.588071572571 43.679376022541)"
301,66766,70181,1762,"kXHFuKFJ St","yJhgZxHC St","RUayeXXd St",54,19,"Picea pungens","Colorado Blue Spruce","POINT (-79.4224112063414 43.6312948473264)"
302,35556,31845,333,"QjgUfulZ St","IvLZjdqv St","nGESPwfc St",15.1,2,"Betula papyrifera","Silver Maple","POINT (-79.4171262442833 43.672667613416)"
303,32076,42752,624,"qPKPFJGY St","OnKNMNHy St","bDwUaCtB St",78.8,24,"Picea pungens","Colorado Blue Spruce","POINT (-79.3960633989191 43.7486281876219)"
304,26715,27268,923,"lKQYiitB St","cFucAoYR St","CCYDbpHF St",28.8,8,"Betula papyrifera","White Birch","POINT (-79.5836444870569 43.7458530051401)"
305,18388,56511,2557,"NRqgNZmF St","vULMXqob St","xaNukUrW St",99.1,6,"Picea pungens","Silver Maple","POINT (-79.4647457389627 43.8964595990023)"
306,82526,97514,17,"aiKZrsnh St","hVgNAuRj St","ySjSRNAx St",86,12,"Acer saccharinum","Silver Maple","POINT (-79.4877570213517 43.7841002430767)"
307,23977,95934,2324,"KKanzSLl St","WAsugVoU St","bvSVpGwv St",84.2,18,"Picea pungens","Colorado Blue Spruce","POINT (-79.34605726921 43.7568081032019)"
308,68616,44320,1656,"WvvTGnzC St","pFDhkSkX St","CocVIzsG St",95,11,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5669766407926 43.6895521626109)"
309,63481,62966,4430,"NAPBZcsA St","FzAgfujI St","aqjCTWwe St",99,17,"Betula papyrifera","White Birch","POINT (-79.475369891827 43.7590952103958)"
310,31315,59125,651,"zAjzmgEf St","MxssEEyy St","EntezQoO St",23.8,16,"Picea pungens","Colorado Blue Spruce","POINT (-79.5343958786223 43.6721452016616)"
311,43755,54860,1668,"cYAuUVwo St","mcwzpFhM St","WeSmWjbW St",95,23,"Picea pungens","White Birch","POINT (-79.3419616530417 43.6484516808996)"
312,45555,39546,3516,"VcYOaJXB St","hXujtXfQ St","hRxEifgl St",28.1,10,"Acer saccharinum","White Birch","POINT (-79.4395081647672 43.6679056234425)"
313,57943,82771,2292,"cYDCQQTG St","yhHrFnzI St","iEuntzOq St",34.2,2,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.395607456076 43.8149654761655)"
314,74659,74599,1399,"lceuLrpK St","LzxKpnRN St","cDUuLaQf St",76.3,12,"Acer saccharinum","White Birch","POINT (-79.5021702631377 43.6502705563325)"
315,73799,11496,1070,"uAFVdGLP St","ahRLclQl St","bZCGcDCv St",57.9,3,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5581077679759 43.702000000095)"
316,20400,78252,3693,"OgiYpzha St","HlniTMWo St","ZSMLNNLw St",8.4,23,"Betula papyrifera","White Birch","POINT (-79.4127877014223 43.7002395075513)"
317,4972,84287,3108,"PstIsVIo St","SOhZIKgj St","KMrBQhbX St",24.5,1,"Picea pungens","Colorado Blue Spruce","POINT (-79.3784033652628 43.7609608184313)"
318,69045,93714,2279,"gnGEwNfZ St","PZVPQxba St","rMdGbJHH St",50.1,13,"Betula papyrifera","White Birch","POINT (-79.302418788569 43.7104073942406)"
319,37492,39808,4163,"sWhPXFow St","iHKZOVXG St","oIvlkoRa St",61.7,19,"Betula papyrifera","Silver Maple","POINT (-79.4648926070193 43.7148590052733)"
